param_name,fisher_value,zone,dataset
model.layers.14.mlp.fc1.weight,3.1279772827401757,C,gsm8k
model.layers.13.mlp.fc2.weight,3.109653813764453,C,gsm8k
model.layers.14.self_attn.v_proj.weight,3.0941179394721985,C,gsm8k
model.layers.13.self_attn.v_proj.weight,3.070036018267274,C,gsm8k
model.layers.15.mlp.fc2.weight,2.9674879871308804,C,gsm8k
model.layers.14.mlp.fc2.weight,2.9304837081581354,C,gsm8k
model.layers.15.self_attn.v_proj.weight,2.906632003840059,C,gsm8k
model.layers.26.mlp.fc1.weight,2.8743271054700017,C,gsm8k
model.layers.25.mlp.fc1.weight,2.8497950546443462,C,gsm8k
model.layers.1.self_attn.dense.weight,2.8451437116600573,C,gsm8k
model.layers.16.mlp.fc2.weight,2.822302826680243,C,gsm8k
model.layers.17.mlp.fc2.weight,2.8206023136153817,C,gsm8k
model.layers.18.mlp.fc2.weight,2.711693071760237,C,gsm8k
model.layers.16.self_attn.v_proj.weight,2.650428486522287,C,gsm8k
model.layers.2.mlp.fc1.weight,2.6450986424461007,C,gsm8k
model.layers.19.mlp.fc2.weight,2.5914581827819347,C,gsm8k
model.layers.20.mlp.fc2.weight,2.5460404292680323,C,gsm8k
model.layers.30.self_attn.v_proj.weight,2.5178293408825994,C,gsm8k
model.layers.27.mlp.fc1.weight,2.474358188919723,C,gsm8k
model.layers.2.self_attn.dense.weight,2.4658501346129924,C,gsm8k
model.layers.21.mlp.fc2.weight,2.4218817823566496,C,gsm8k
model.layers.18.self_attn.v_proj.weight,2.3978241700679064,C,gsm8k
model.layers.17.self_attn.v_proj.weight,2.3357227141968906,C,gsm8k
model.layers.22.mlp.fc2.weight,2.3308240566402674,C,gsm8k
model.layers.28.mlp.fc1.weight,2.167241561692208,C,gsm8k
model.layers.23.mlp.fc2.weight,2.1616862369701266,C,gsm8k
model.layers.19.self_attn.v_proj.weight,1.9305305588059127,C,gsm8k
model.layers.21.self_attn.v_proj.weight,1.92411153530702,C,gsm8k
model.layers.24.mlp.fc2.weight,1.8593237441964447,C,gsm8k
model.layers.1.mlp.fc1.weight,1.8463952175807208,C,gsm8k
model.layers.0.mlp.fc2.weight,1.7551601049490273,C,gsm8k
model.layers.22.self_attn.v_proj.weight,1.7394714844413102,C,gsm8k
model.layers.20.self_attn.v_proj.weight,1.7277752086520195,C,gsm8k
model.layers.23.self_attn.v_proj.weight,1.709960290696472,C,gsm8k
model.layers.24.self_attn.v_proj.weight,1.6684437617659569,C,gsm8k
model.layers.27.input_layernorm.weight,1.6403630855857045,C,gsm8k
model.layers.25.self_attn.v_proj.weight,1.532842186279595,C,gsm8k
model.layers.25.mlp.fc2.weight,1.4756775344721973,C,gsm8k
model.layers.26.self_attn.v_proj.weight,1.4111023307777941,C,gsm8k
model.layers.3.self_attn.dense.weight,1.4024416264146566,C,gsm8k
model.layers.4.self_attn.dense.weight,1.2740479754284024,C,gsm8k
model.layers.26.mlp.fc2.weight,1.2671164101921022,C,gsm8k
model.layers.29.mlp.fc2.weight,1.2629095106385648,C,gsm8k
model.layers.25.self_attn.k_proj.weight,1.258544391952455,C,gsm8k
model.layers.5.self_attn.dense.weight,1.2432308469433337,C,gsm8k
model.layers.31.self_attn.v_proj.weight,1.2203084784559906,C,gsm8k
model.layers.30.mlp.fc2.weight,1.1434921431355178,C,gsm8k
model.layers.27.self_attn.v_proj.weight,1.1261257156729698,C,gsm8k
model.layers.28.self_attn.v_proj.weight,1.100668169092387,C,gsm8k
model.layers.27.mlp.fc2.weight,1.0663843303918839,C,gsm8k
model.layers.28.mlp.fc2.weight,0.9879199408460408,C,gsm8k
model.layers.11.self_attn.dense.weight,0.9772189471405,C,gsm8k
model.layers.6.self_attn.dense.weight,0.921491272514686,C,gsm8k
model.layers.25.self_attn.q_proj.weight,0.8974152018781751,C,gsm8k
model.layers.31.mlp.fc2.weight,0.895695181330666,C,gsm8k
model.layers.9.self_attn.dense.weight,0.8910080380737782,C,gsm8k
model.layers.7.self_attn.dense.weight,0.8769353502430022,C,gsm8k
model.layers.11.self_attn.q_proj.weight,0.8644832143327221,C,gsm8k
model.layers.11.self_attn.k_proj.weight,0.8454294931143522,C,gsm8k
model.layers.10.self_attn.dense.weight,0.8138867521192878,C,gsm8k
model.layers.12.self_attn.dense.weight,0.7346314957831055,C,gsm8k
model.layers.10.self_attn.q_proj.weight,0.6957234018482268,C,gsm8k
model.layers.0.mlp.fc1.weight,0.6941968444734812,C,gsm8k
model.layers.15.self_attn.dense.weight,0.693612199742347,C,gsm8k
model.layers.23.input_layernorm.weight,0.6899216577585321,C,gsm8k
model.layers.14.self_attn.dense.weight,0.6392734560649842,C,gsm8k
model.layers.8.self_attn.dense.weight,0.6228011167841032,C,gsm8k
model.layers.18.self_attn.dense.weight,0.6150391739793122,C,gsm8k
model.layers.21.self_attn.dense.weight,0.6069007642799988,C,gsm8k
model.layers.13.self_attn.dense.weight,0.5917258458212018,C,gsm8k
model.layers.29.self_attn.dense.weight,0.5693986437981948,C,gsm8k
model.layers.10.self_attn.k_proj.weight,0.5567988991970196,C,gsm8k
model.layers.8.self_attn.q_proj.weight,0.5517841200926341,C,gsm8k
model.layers.24.self_attn.dense.weight,0.5341172380722128,C,gsm8k
model.layers.9.self_attn.q_proj.weight,0.5308834564639255,C,gsm8k
model.layers.16.self_attn.dense.weight,0.527793770772405,C,gsm8k
model.layers.20.self_attn.dense.weight,0.5047800845932215,C,gsm8k
model.layers.17.self_attn.dense.weight,0.503780165920034,C,gsm8k
model.layers.19.self_attn.dense.weight,0.5033039289992303,C,gsm8k
model.layers.23.self_attn.dense.weight,0.48308889323379844,C,gsm8k
model.layers.22.self_attn.dense.weight,0.4689231958473101,C,gsm8k
model.layers.9.self_attn.k_proj.weight,0.4665975464740768,C,gsm8k
model.layers.4.self_attn.k_proj.weight,0.4657366100582294,C,gsm8k
model.layers.30.self_attn.dense.weight,0.46340790926478803,C,gsm8k
model.layers.18.input_layernorm.weight,0.44754518030094914,C,gsm8k
model.layers.23.self_attn.k_proj.weight,0.43305128370411694,C,gsm8k
model.layers.4.self_attn.q_proj.weight,0.4301268451381475,C,gsm8k
model.layers.13.self_attn.q_proj.weight,0.425777297350578,C,gsm8k
model.layers.6.self_attn.q_proj.weight,0.4163588654482737,C,gsm8k
model.layers.8.self_attn.k_proj.weight,0.4106386933126487,C,gsm8k
model.layers.25.self_attn.dense.weight,0.39826631086179987,C,gsm8k
model.layers.5.self_attn.q_proj.weight,0.39566721953451633,C,gsm8k
model.layers.12.self_attn.q_proj.weight,0.3952794222859666,C,gsm8k
model.layers.13.self_attn.k_proj.weight,0.3930282293003984,C,gsm8k
model.layers.24.self_attn.k_proj.weight,0.3852324818726629,C,gsm8k
model.layers.5.self_attn.k_proj.weight,0.3801905230502598,C,gsm8k
model.layers.15.self_attn.k_proj.weight,0.3752844093251042,C,gsm8k
model.layers.6.self_attn.k_proj.weight,0.37428026529960334,C,gsm8k
model.layers.27.self_attn.k_proj.weight,0.3742370050167665,C,gsm8k
model.layers.7.self_attn.q_proj.weight,0.3521387450164184,C,gsm8k
model.layers.26.self_attn.dense.weight,0.35161331784911454,C,gsm8k
model.layers.15.self_attn.q_proj.weight,0.35133994958596304,C,gsm8k
model.layers.23.self_attn.q_proj.weight,0.35115149070043117,C,gsm8k
model.layers.14.self_attn.q_proj.weight,0.3486467323382385,C,gsm8k
model.layers.12.self_attn.k_proj.weight,0.34627536445623264,C,gsm8k
model.layers.24.self_attn.q_proj.weight,0.33768727543065324,C,gsm8k
model.layers.21.self_attn.k_proj.weight,0.3364477081922814,C,gsm8k
model.layers.14.self_attn.k_proj.weight,0.3306264506536536,C,gsm8k
model.layers.28.self_attn.k_proj.weight,0.32252549316035584,C,gsm8k
model.layers.0.self_attn.k_proj.weight,0.31318949491833337,C,gsm8k
model.layers.7.self_attn.k_proj.weight,0.3092093920568004,C,gsm8k
model.layers.28.self_attn.dense.weight,0.30682278209133074,C,gsm8k
model.layers.27.self_attn.dense.weight,0.3047458717483096,C,gsm8k
model.layers.18.self_attn.q_proj.weight,0.2994544491521083,C,gsm8k
model.layers.3.self_attn.q_proj.weight,0.2989571185898967,C,gsm8k
model.layers.26.self_attn.q_proj.weight,0.2981431224034168,C,gsm8k
model.layers.31.self_attn.dense.weight,0.2977657587034628,C,gsm8k
model.layers.16.self_attn.q_proj.weight,0.29080743598751724,C,gsm8k
model.layers.28.self_attn.q_proj.weight,0.28894468711223453,C,gsm8k
model.layers.20.self_attn.q_proj.weight,0.286061636172235,C,gsm8k
model.layers.3.self_attn.k_proj.weight,0.28548899173620157,C,gsm8k
model.layers.21.self_attn.q_proj.weight,0.28235440666321665,C,gsm8k
model.layers.18.self_attn.k_proj.weight,0.28208178776549175,C,gsm8k
model.layers.22.self_attn.k_proj.weight,0.28131329410825856,C,gsm8k
model.layers.16.self_attn.k_proj.weight,0.2662884601159021,C,gsm8k
model.layers.2.self_attn.k_proj.weight,0.26079419066081755,C,gsm8k
model.layers.20.self_attn.k_proj.weight,0.2545751617872156,C,gsm8k
model.layers.22.self_attn.q_proj.weight,0.2524440228880849,C,gsm8k
model.layers.17.self_attn.q_proj.weight,0.24743678217055276,C,gsm8k
model.layers.19.self_attn.q_proj.weight,0.24579593271482736,C,gsm8k
model.layers.27.self_attn.q_proj.weight,0.24299206002615392,C,gsm8k
model.layers.0.input_layernorm.weight,0.24232374955317937,C,gsm8k
model.layers.17.self_attn.k_proj.weight,0.20514326938427985,C,gsm8k
model.layers.19.self_attn.k_proj.weight,0.20158987632021308,C,gsm8k
model.layers.2.self_attn.q_proj.weight,0.19233901865663938,C,gsm8k
model.layers.25.input_layernorm.weight,0.1882840087855584,C,gsm8k
model.layers.21.input_layernorm.weight,0.17860971582558705,C,gsm8k
model.layers.0.self_attn.q_proj.weight,0.16174645152932499,C,gsm8k
model.layers.29.self_attn.q_proj.weight,0.1547924714104738,C,gsm8k
model.layers.9.input_layernorm.weight,0.15123710607440444,C,gsm8k
model.layers.22.input_layernorm.weight,0.14044358712999383,C,gsm8k
model.layers.10.input_layernorm.weight,0.11092042902600951,C,gsm8k
model.layers.1.self_attn.k_proj.weight,0.09925813628069591,C,gsm8k
model.layers.4.input_layernorm.weight,0.09252121460667695,C,gsm8k
model.layers.3.input_layernorm.weight,0.08053975099755917,C,gsm8k
model.layers.5.input_layernorm.weight,0.0787238270859234,C,gsm8k
model.layers.7.input_layernorm.weight,0.07532225247268798,C,gsm8k
model.layers.20.input_layernorm.weight,0.07501121245149989,C,gsm8k
model.layers.6.input_layernorm.weight,0.06978920855908655,C,gsm8k
model.layers.8.input_layernorm.weight,0.06976881722221151,C,gsm8k
model.layers.11.input_layernorm.weight,0.06795621563651366,C,gsm8k
model.layers.1.self_attn.q_proj.weight,0.06649054407898802,C,gsm8k
model.layers.2.input_layernorm.weight,0.05625350724221789,C,gsm8k
model.layers.13.input_layernorm.weight,0.05454827033827314,C,gsm8k
model.layers.12.input_layernorm.weight,0.049109480751212686,C,gsm8k
model.layers.24.input_layernorm.weight,0.04558948823978426,C,gsm8k
model.final_layernorm.weight,0.044812284602812724,C,gsm8k
model.layers.1.input_layernorm.weight,0.043803724427561974,C,gsm8k
model.layers.14.input_layernorm.weight,0.04284668400941882,C,gsm8k
model.layers.30.self_attn.q_proj.weight,0.04129971275688149,C,gsm8k
model.layers.17.input_layernorm.weight,0.03746579690778162,C,gsm8k
model.layers.16.input_layernorm.weight,0.035795782365312334,C,gsm8k
model.layers.15.input_layernorm.weight,0.0336767124463222,C,gsm8k
model.layers.19.input_layernorm.weight,0.02922637997107813,C,gsm8k
model.layers.28.input_layernorm.weight,0.024843576444254722,C,gsm8k
model.layers.31.self_attn.q_proj.weight,0.0218236138462089,C,gsm8k
